,room,capacity,occupancy,day,month,date,time
0,B004,160,25%,Mon,Nov,02,09:00:00
1,B004,160,50%,Mon,Nov,02,10:00:00
2,B004,160,25%,Mon,Nov,02,11:00:00
3,B004,160,25%,Mon,Nov,02,12:00:00
4,B004,160,50%,Mon,Nov,02,13:00:00
5,B004,160,25%,Mon,Nov,02,14:00:00
6,B004,160,0%,Mon,Nov,02,15:00:00
7,B004,160,75%,Mon,Nov,02,16:00:00
8,B004,160,75%,Tue,Nov,03,09:00:00
9,B004,160,50%,Tue,Nov,03,10:00:00
10,B004,160,50%,Tue,Nov,03,11:00:00
11,B004,160,50%,Tue,Nov,03,12:00:00
12,B004,160,50%,Tue,Nov,03,13:00:00
13,B004,160,25%,Tue,Nov,03,14:00:00
14,B004,160,25%,Tue,Nov,03,15:00:00
15,B004,160,0%,Tue,Nov,03,16:00:00
16,B004,160,25%,Wed,Nov,04,09:00:00
17,B004,160,0%,Wed,Nov,04,10:00:00
18,B004,160,25%,Wed,Nov,04,11:00:00
19,B004,160,50%,Wed,Nov,04,12:00:00
20,B004,160,0%,Wed,Nov,04,13:00:00
21,B004,160,0%,Wed,Nov,04,14:00:00
22,B004,160,0%,Wed,Nov,04,15:00:00
23,B004,160,0%,Wed,Nov,04,16:00:00
24,B004,160,100%,Thu,Nov,05,09:00:00
25,B004,160,25%,Thu,Nov,05,10:00:00
26,B004,160,25%,Thu,Nov,05,11:00:00
27,B004,160,25%,Thu,Nov,05,12:00:00
28,B004,160,50%,Thu,Nov,05,13:00:00
29,B004,160,25%,Thu,Nov,05,14:00:00
30,B004,160,0%,Thu,Nov,05,15:00:00
31,B004,160,0%,Thu,Nov,05,16:00:00
32,B004,160,0%,Fri,Nov,06,09:00:00
33,B004,160,50%,Fri,Nov,06,10:00:00
34,B004,160,25%,Fri,Nov,06,11:00:00
35,B004,160,25%,Fri,Nov,06,12:00:00
36,B004,160,50%,Fri,Nov,06,13:00:00
37,B004,160,25%,Fri,Nov,06,14:00:00
38,B004,160,0%,Fri,Nov,06,15:00:00
39,B004,160,0%,Fri,Nov,06,16:00:00
40,B004,160,25%,Mon,Nov,09,09:00:00
41,B004,160,25%,Mon,Nov,09,10:00:00
42,B004,160,25%,Mon,Nov,09,11:00:00
43,B004,160,25%,Mon,Nov,09,12:00:00
44,B004,160,25%,Mon,Nov,09,13:00:00
45,B004,160,25%,Mon,Nov,09,14:00:00
46,B004,160,50%,Mon,Nov,09,15:00:00
47,B004,160,25%,Mon,Nov,09,16:00:00
48,B004,160,25%,Tue,Nov,10,09:00:00
49,B004,160,25%,Tue,Nov,10,10:00:00
50,B004,160,25%,Tue,Nov,10,11:00:00
51,B004,160,25%,Tue,Nov,10,12:00:00
52,B004,160,25%,Tue,Nov,10,13:00:00
53,B004,160,50%,Tue,Nov,10,14:00:00
54,B004,160,25%,Tue,Nov,10,15:00:00
55,B004,160,0%,Tue,Nov,10,16:00:00
56,B004,160,0%,Wed,Nov,11,09:00:00
57,B004,160,0%,Wed,Nov,11,10:00:00
58,B004,160,25%,Wed,Nov,11,11:00:00
59,B004,160,25%,Wed,Nov,11,12:00:00
60,B004,160,0%,Wed,Nov,11,13:00:00
61,B004,160,0%,Wed,Nov,11,14:00:00
62,B004,160,0%,Wed,Nov,11,15:00:00
63,B004,160,0%,Wed,Nov,11,16:00:00
64,B004,160,50%,Thu,Nov,12,09:00:00
65,B004,160,50%,Thu,Nov,12,10:00:00
66,B004,160,25%,Thu,Nov,12,11:00:00
67,B004,160,25%,Thu,Nov,12,12:00:00
68,B004,160,50%,Thu,Nov,12,13:00:00
69,B004,160,50%,Thu,Nov,12,14:00:00
70,B004,160,25%,Thu,Nov,12,15:00:00
71,B004,160,0%,Thu,Nov,12,16:00:00
72,B004,160,0%,Fri,Nov,13,09:00:00
73,B004,160,0%,Fri,Nov,13,10:00:00
74,B004,160,0%,Fri,Nov,13,11:00:00
75,B004,160,0%,Fri,Nov,13,12:00:00
76,B004,160,0%,Fri,Nov,13,13:00:00
77,B004,160,50%,Fri,Nov,13,14:00:00
78,B004,160,50%,Fri,Nov,13,15:00:00
79,B004,160,0%,Fri,Nov,13,16:00:00
80,B002,90,25%,Mon,Nov,02,09:00:00
81,B002,90,50%,Mon,Nov,02,10:00:00
82,B002,90,25%,Mon,Nov,02,11:00:00
83,B002,90,25%,Mon,Nov,02,12:00:00
84,B002,90,50%,Mon,Nov,02,13:00:00
85,B002,90,25%,Mon,Nov,02,14:00:00
86,B002,90,0%,Mon,Nov,02,15:00:00
