,room,time,capacity,occupancy,occupancyCount,module,size,hour,date,time_0,associated,authenticated,capacity_y
0,B004,Mon Nov 02 09:00:00,160.0,25%,40.0,COMP30010,79.0,9.0,2.0,,,,
1,B004,Mon Nov 02 10:00:00,160.0,50%,80.0,IS40640,49.0,10.0,2.0,,,,
2,B004,Mon Nov 02 11:00:00,160.0,25%,40.0,IS40640,49.0,11.0,2.0,,,,
3,B004,Mon Nov 02 12:00:00,160.0,25%,40.0,COMP20020,98.0,12.0,2.0,,,,
4,B004,Mon Nov 02 13:00:00,160.0,50%,80.0,Booked by School of CS (no other data available),,13.0,2.0,,,,
5,B004,Mon Nov 02 14:00:00,160.0,25%,40.0,SCI30060,66.0,14.0,2.0,,,,
6,B004,Mon Nov 02 15:00:00,160.0,0%,0.0,COMP41110,19.0,15.0,2.0,,,,
7,B004,Mon Nov 02 16:00:00,160.0,75%,120.0,,,16.0,2.0,,,,
8,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:02:20,62.0,62.0,160.0
9,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:07:24,95.0,95.0,160.0
10,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:12:01,113.0,113.0,160.0
11,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:16:53,119.0,119.0,160.0
12,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:21:55,124.0,123.0,160.0
13,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:27:00,122.0,122.0,160.0
14,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:32:07,124.0,124.0,160.0
15,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:37:18,125.0,125.0,160.0
16,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:42:20,125.0,125.0,160.0
17,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:47:30,130.0,129.0,160.0
18,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:52:47,68.0,67.0,160.0
19,B004,Tue Nov 03 09:00:00,160.0,75%,120.0,COMP41450 & COMP30120,143.0,9.0,3.0,Tue Nov 03 09:58:34,20.0,20.0,160.0
20,B004,Tue Nov 03 10:00:00,160.0,50%,80.0,COMP10130,112.0,10.0,3.0,Tue Nov 03 10:03:51,53.0,52.0,160.0
21,B004,Tue Nov 03 10:00:00,160.0,50%,80.0,COMP10130,112.0,10.0,3.0,Tue Nov 03 10:08:42,84.0,83.0,160.0
22,B004,Tue Nov 03 10:00:00,160.0,50%,80.0,COMP10130,112.0,10.0,3.0,Tue Nov 03 10:13:08,97.0,97.0,160.0
23,B004,Tue Nov 03 10:00:00,160.0,50%,80.0,COMP10130,112.0,10.0,3.0,Tue Nov 03 10:18:06,98.0,97.0,160.0
24,B004,Tue Nov 03 10:00:00,160.0,50%,80.0,COMP10130,112.0,10.0,3.0,Tue Nov 03 10:23:02,98.0,97.0,160.0
25,B004,Tue Nov 03 10:00:00,160.0,50%,80.0,COMP10130,112.0,10.0,3.0,Tue Nov 03 10:28:09,102.0,102.0,160.0
26,B004,Tue Nov 03 10:00:00,160.0,50%,80.0,COMP10130,112.0,10.0,3.0,Tue Nov 03 10:33:16,105.0,105.0,160.0
27,B004,Tue Nov 03 10:00:00,160.0,50%,80.0,COMP10130,112.0,10.0,3.0,Tue Nov 03 10:38:22,108.0,108.0,160.0
