,room,capacity,time,occupancy,occupancyCount
0,B004,160,Mon Nov 02 09:00:00,25%,40.0
1,B004,160,Mon Nov 02 10:00:00,50%,80.0
2,B004,160,Mon Nov 02 11:00:00,25%,40.0
3,B004,160,Mon Nov 02 12:00:00,25%,40.0
4,B004,160,Mon Nov 02 13:00:00,50%,80.0
5,B004,160,Mon Nov 02 14:00:00,25%,40.0
6,B004,160,Mon Nov 02 15:00:00,0%,0.0
7,B004,160,Mon Nov 02 16:00:00,75%,120.0
8,B004,160,Tue Nov 03 09:00:00,75%,120.0
9,B004,160,Tue Nov 03 10:00:00,50%,80.0
10,B004,160,Tue Nov 03 11:00:00,50%,80.0
11,B004,160,Tue Nov 03 12:00:00,50%,80.0
12,B004,160,Tue Nov 03 13:00:00,50%,80.0
13,B004,160,Tue Nov 03 14:00:00,25%,40.0
14,B004,160,Tue Nov 03 15:00:00,25%,40.0
15,B004,160,Tue Nov 03 16:00:00,0%,0.0
16,B004,160,Wed Nov 04 09:00:00,25%,40.0
17,B004,160,Wed Nov 04 10:00:00,0%,0.0
18,B004,160,Wed Nov 04 11:00:00,25%,40.0
19,B004,160,Wed Nov 04 12:00:00,50%,80.0
20,B004,160,Wed Nov 04 13:00:00,0%,0.0
21,B004,160,Wed Nov 04 14:00:00,0%,0.0
22,B004,160,Wed Nov 04 15:00:00,0%,0.0
23,B004,160,Wed Nov 04 16:00:00,0%,0.0
24,B004,160,Thu Nov 05 09:00:00,100%,160.0
25,B004,160,Thu Nov 05 10:00:00,25%,40.0
26,B004,160,Thu Nov 05 11:00:00,25%,40.0
27,B004,160,Thu Nov 05 12:00:00,25%,40.0
28,B004,160,Thu Nov 05 13:00:00,50%,80.0
29,B004,160,Thu Nov 05 14:00:00,25%,40.0
30,B004,160,Thu Nov 05 15:00:00,0%,0.0
31,B004,160,Thu Nov 05 16:00:00,0%,0.0
32,B004,160,Fri Nov 06 09:00:00,0%,0.0
33,B004,160,Fri Nov 06 10:00:00,50%,80.0
34,B004,160,Fri Nov 06 11:00:00,25%,40.0
35,B004,160,Fri Nov 06 12:00:00,25%,40.0
36,B004,160,Fri Nov 06 13:00:00,50%,80.0
37,B004,160,Fri Nov 06 14:00:00,25%,40.0
38,B004,160,Fri Nov 06 15:00:00,0%,0.0
39,B004,160,Fri Nov 06 16:00:00,0%,0.0
40,B004,160,Mon Nov 09 09:00:00,25%,40.0
41,B004,160,Mon Nov 09 10:00:00,25%,40.0
42,B004,160,Mon Nov 09 11:00:00,25%,40.0
43,B004,160,Mon Nov 09 12:00:00,25%,40.0
44,B004,160,Mon Nov 09 13:00:00,25%,40.0
45,B004,160,Mon Nov 09 14:00:00,25%,40.0
46,B004,160,Mon Nov 09 15:00:00,50%,80.0
47,B004,160,Mon Nov 09 16:00:00,25%,40.0
48,B004,160,Tue Nov 10 09:00:00,25%,40.0
49,B004,160,Tue Nov 10 10:00:00,25%,40.0
50,B004,160,Tue Nov 10 11:00:00,25%,40.0
51,B004,160,Tue Nov 10 12:00:00,25%,40.0
52,B004,160,Tue Nov 10 13:00:00,25%,40.0
53,B004,160,Tue Nov 10 14:00:00,50%,80.0
54,B004,160,Tue Nov 10 15:00:00,25%,40.0
55,B004,160,Tue Nov 10 16:00:00,0%,0.0
56,B004,160,Wed Nov 11 09:00:00,0%,0.0
57,B004,160,Wed Nov 11 10:00:00,0%,0.0
58,B004,160,Wed Nov 11 11:00:00,25%,40.0
59,B004,160,Wed Nov 11 12:00:00,25%,40.0
60,B004,160,Wed Nov 11 13:00:00,0%,0.0
61,B004,160,Wed Nov 11 14:00:00,0%,0.0
62,B004,160,Wed Nov 11 15:00:00,0%,0.0
63,B004,160,Wed Nov 11 16:00:00,0%,0.0
64,B004,160,Thu Nov 12 09:00:00,50%,80.0
65,B004,160,Thu Nov 12 10:00:00,50%,80.0
66,B004,160,Thu Nov 12 11:00:00,25%,40.0
67,B004,160,Thu Nov 12 12:00:00,25%,40.0
68,B004,160,Thu Nov 12 13:00:00,50%,80.0
69,B004,160,Thu Nov 12 14:00:00,50%,80.0
70,B004,160,Thu Nov 12 15:00:00,25%,40.0
71,B004,160,Thu Nov 12 16:00:00,0%,0.0
72,B004,160,Fri Nov 13 09:00:00,0%,0.0
73,B004,160,Fri Nov 13 10:00:00,0%,0.0
74,B004,160,Fri Nov 13 11:00:00,0%,0.0
