,campus,building,room,time,associated,authenticated
9,Belfield,Computer Science,B002,Mon Nov 02 21:00:00,0,0
21,Belfield,Computer Science,B002,Mon Nov 02 22:00:00,0,0
22,Belfield,Computer Science,B002,Mon Nov 02 22:00:00,0,0
38,Belfield,Computer Science,B002,Mon Nov 02 23:00:00,0,0
49,Belfield,Computer Science,B002,Tue Nov 03 00:00:00,0,0
61,Belfield,Computer Science,B002,Tue Nov 03 01:00:00,0,0
73,Belfield,Computer Science,B002,Tue Nov 03 02:00:00,0,0
97,Belfield,Computer Science,B002,Tue Nov 03 04:00:00,0,0
109,Belfield,Computer Science,B002,Tue Nov 03 05:00:00,0,0
121,Belfield,Computer Science,B002,Tue Nov 03 06:00:00,0,0
132,Belfield,Computer Science,B002,Tue Nov 03 07:00:00,0,0
144,Belfield,Computer Science,B002,Tue Nov 03 08:00:00,0,0
156,Belfield,Computer Science,B002,Tue Nov 03 09:00:00,0,0
167,Belfield,Computer Science,B002,Tue Nov 03 10:00:00,29,29
179,Belfield,Computer Science,B002,Tue Nov 03 11:00:00,29,29
190,Belfield,Computer Science,B002,Tue Nov 03 12:00:00,21,21
202,Belfield,Computer Science,B002,Tue Nov 03 13:00:00,11,11
213,Belfield,Computer Science,B002,Tue Nov 03 14:00:00,47,47
225,Belfield,Computer Science,B002,Tue Nov 03 15:00:00,47,47
236,Belfield,Computer Science,B002,Tue Nov 03 16:00:00,36,35
248,Belfield,Computer Science,B002,Tue Nov 03 17:00:00,35,35
260,Belfield,Computer Science,B002,Tue Nov 03 18:00:00,11,11
272,Belfield,Computer Science,B002,Tue Nov 03 19:00:00,0,0
284,Belfield,Computer Science,B002,Tue Nov 03 20:00:00,0,0
296,Belfield,Computer Science,B002,Tue Nov 03 21:00:00,0,0
308,Belfield,Computer Science,B002,Tue Nov 03 22:00:00,0,0
320,Belfield,Computer Science,B002,Tue Nov 03 23:00:00,0,0
331,Belfield,Computer Science,B002,Wed Nov 04 00:00:00,0,0
343,Belfield,Computer Science,B002,Wed Nov 04 01:00:00,0,0
355,Belfield,Computer Science,B002,Wed Nov 04 02:00:00,0,0
367,Belfield,Computer Science,B002,Wed Nov 04 03:00:00,0,0
379,Belfield,Computer Science,B002,Wed Nov 04 04:00:00,0,0
